18766,Amine,Hamdi,22/06/2003,Tizi Ouzou
12037,Nadia,Cherif,22/03/2003,Algiers
12462,Mehdi,Hamdi,25/11/2002,Setif
13532,Amina,Amrani,20/04/2004,Algiers
10325,Sofiane,Mokhtar,14/12/2000,Batna
12425,Karim,Cherif,29/05/2002,Annaba
14862,Yasmine,Bendjedid,03/01/2004,Tizi Ouzou
12364,Yasmine,Bendjedid,19/11/2001,Algiers
13285,Amine,Hamdi,05/07/2002,Batna
14223,Mehdi,Saadi,21/11/2000,Djelfa
10540,Rachid,Benali,11/10/2004,Tizi Ouzou
17307,Mehdi,Belaid,19/04/2001,Algiers
17650,Karim,Belaid,27/09/2003,Setif
16511,Yasmine,Cherif,03/02/2002,Blida
10567,,Mokhtar,03/12/2002,Annaba
17259,Nadia,,24/03/2004,Djelfa
13438,Nadia,Benali,19/05/2004,Annaba
12395,,Djebbar,03/04/2002,Annaba
17774,Mehdi,Mokhtar,20/11/2000,Blida
17977,Rachid,Bendjedid,03/09/2004,Setif
16584,Sofiane,Djebbar,06/04/2001,Algiers
13375,Rachid,Djebbar,13/11/2000,Tizi Ouzou
18464,Karim,Fekir,,Annaba
10466,Nadia,Bendjedid,24/05/2002,Tizi Ouzou
16949,Mehdi,Bendjedid,07/09/2004,Setif
10317,Fouzia,Fekir,27/02/2001,Annaba
10831,Mehdi,Saadi,29/07/2002,Tizi Ouzou
14538,Nadia,Djebbar,01/04/2003,Setif
10072,Yasmine,Belaid,14/10/2002,Annaba
15994,Karim,Djebbar,02/02/2000,Oran
14430,Amine,Cherif,12/11/2001,Oran
15998,Amine,Benali,15/10/2002,Skikda
11592,Amina,Djebbar,03/10/2004,Setif
15179,Yasmine,Cherif,12/01/2000,Constantine
19282,Selma,Hamdi,21/01/2000,Setif
13880,Nadia,Bendjedid,10/04/2003,Batna
12173,Amina,Hamdi,07/10/2002,Oran
11990,Karim,Hamdi,21/07/2003,Djelfa
13305,Rachid,Belaid,02/06/2004,Tizi Ouzou
12068,Karim,Benali,23/01/2004,Djelfa
14900,Amina,Benali,03/10/2003,Annaba
11964,Rachid,Hamdi,13/05/2004,Tizi Ouzou
10994,Amina,Bendjedid,28/09/2001,Annaba
